name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
John Roebling,Suspension Bridge,john-roebling,"['4,710']",2004,"June 12, 1806","July 22, 1869","U.S. Patent No. 4,710",Inducted in 2004,"BornJune 12, 1806 - DiedJuly 22, 1869",
John Raphael Rogers,Matrix for Linotype Machine,john-raphael-rogers,"['837,127']",2007,"Dec. 11, 1856","Feb. 18, 1934","U.S. Patent No. 837,127",Inducted in 2007,"BornDec. 11, 1856 - DiedFeb. 18, 1934",
Heinrich Rohrer,Scanning Tunneling Microscope,heinrich-rohrer,"['4,343,993']",1994,"June 6, 1933","May 16, 2013","U.S. Patent No. 4,343,993",Inducted in 1994,"BornJune 6, 1933 - DiedMay 16, 2013",
Lubomyr Romankiw,Magnetic Thin-Film Storage Head,lubomyr-romankiw,"['3,908,194']",2012,"April 17, 1931",,"U.S. Patent No. 3,908,194",Inducted in 2012,"BornApril 17, 1931",
Harold A. Rosen,Geosynchronous Communications Satellite,harold-rosen,"['3,133,282']",2003,"March 20, 1926","Jan. 30, 2017","U.S. Patent No. 3,133,282",Inducted in 2003,"BornMarch 20, 1926 - DiedJan. 30, 2017",Military Service: U.S. Navy
Edward J. Rosinski,Zeolite Catalyst for Catalytic Cracking,edward-j-rosinski,"['3,140,249']",1979,"Aug. 12, 1921","May 4, 2000","U.S. Patent No. 3,140,249",Inducted in 1979,"BornAug. 12, 1921 - DiedMay 4, 2000",Military Service: U.S. Army Air Corps
Benjamin A. Rubin,Pronged Vaccinating Needle,benjamin-rubin,"['3,194,237']",1992,"Sept. 27, 1917","March 8, 2010","U.S. Patent No. 3,194,237",Inducted in 1992,"BornSept. 27, 1917 - DiedMarch 8, 2010",
Wallace Clement Sabine,Architectural Acoustics,wallace-clement-sabine,"['1,172,838']",2011,"June 13, 1868","Jan. 10, 1919","U.S. Patent No. 1,172,838",Inducted in 2011,"BornJune 13, 1868 - DiedJan. 10, 1919",
Augustine Sackett,Drywall,augustine-sackett,"['520,123']",2017,"March 24, 1841","May 10, 1914","U.S. Patent No. 520,123",Inducted in 2017,"BornMarch 24, 1841 - DiedMay 10, 1914",Military Service: U.S. Navy
Aran Safir,Iris Recognition System,aran-safir,"['4,641,349']",2013,"March 29, 1926","Jan. 21, 2007","U.S. Patent No. 4,641,349",Inducted in 2013,"BornMarch 29, 1926 - DiedJan. 21, 2007",Military Service: U.S. Navy
Lewis Hastings Sarett,Synthetic Cortisone,lewis-hastings-sarett,"['2,462,133']",1980,"Dec. 22, 1917","Nov. 29, 1999","U.S. Patent No. 2,462,133",Inducted in 1980,"BornDec. 22, 1917 - DiedNov. 29, 1999",
Steven Sasson,Digital Camera,steven-sasson,"['4,131,919']",2011,"July 4, 1950",,"U.S. Patent No. 4,131,919",Inducted in 2011,"BornJuly 4, 1950",
Joseph Saxton,Measuring Instruments,joseph-saxton,"['44,460']",2006,"March 22, 1799","Oct. 26, 1873","U.S. Patent No. 44,460",Inducted in 2006,"BornMarch 22, 1799 - DiedOct. 26, 1873",
Arthur Leonard Schawlow,Laser,arthur-leonard-schawlow,"['2,929,922']",1996,"May 5, 1921","April 28, 1999","U.S. Patent No. 2,929,922",Inducted in 1996,"BornMay 5, 1921 - DiedApril 28, 1999",
Klaus K. Schmiegel,Prozac,klaus-k-schmiegel,"['4,314,081']",1999,"June 28, 1939",,"U.S. Patent No. 4,314,081",Inducted in 1999,"BornJune 28, 1939",
Peter C. Schultz,Optical Fiber,peter-c-schultz,"['3,659,915', '3,711,262']",1993,"Dec. 3, 1942",,"U.S. Patent Nos. 3,659,915; 3,711,262",Inducted in 1993,"BornDec. 3, 1942",
Edmund O. Schweitzer III,Digital Protective Relay,edmund-schweitzer,"['4,300,182']",2019,"Oct. 31, 1947",,"U.S. Patent No. 4,300,182",Inducted in 2019,"BornOct. 31, 1947",
Glenn T. Seaborg,Plutonium Isolation,glenn-t-seaborg,"['3,000,695']",2005,"April 19, 1912","Feb. 25, 1999","U.S. Patent No. 3,000,695",Inducted in 2005,"BornApril 19, 1912 - DiedFeb. 25, 1999",
Charles D. Seeberger,Escalator,charles-d-seeberger,"['617,778']",2007,"Jan. 1, 1857","Sept. 12, 1931","U.S. Patent No. 617,778",Inducted in 2007,"BornJan. 1, 1857 - DiedSept. 12, 1931",
Robert J. Seiwald,Isothiocyanate Compounds for Antigen Identification,robert-j-seiwald,"['2,937,186']",1995,"March 26, 1925",,"U.S. Patent No. 2,937,186",Inducted in 1995,"BornMarch 26, 1925",Military Service: U.S. Army
William Sellers,Improvement in Boring Mills,william-sellers,"['17,641']",2007,"Sept. 19, 1824","Jan. 24, 1905","U.S. Patent No. 17,641",Inducted in 2007,"BornSept. 19, 1824 - DiedJan. 24, 1905",
Waldo L. Semon,Polyvinyl Chloride (PVC),waldo-l-semon,"['1,929,453', '2,188,396']",1995,"Sept. 10, 1898","May 26, 1999","U.S. Patent Nos. 1,929,453; 2,188,396",Inducted in 1995,"BornSept. 10, 1898 - DiedMay 26, 1999",
Gerhard M. Sessler,Electret Microphone,gerhard-m-sessler,"['3,118,022']",1999,"Feb. 15, 1931",,"U.S. Patent No. 3,118,022",Inducted in 1999,"BornFeb. 15, 1931",
Adi Shamir,RSA Cryptography,adi-shamir,"['4,405,829']",2018,"July 6, 1952",,"U.S. Patent No. 4,405,829",Inducted in 2018,"BornJuly 6, 1952",
Claude Shannon,Pulse Code Modulation,claude-shannon,"['2,801,281']",2004,"April 30, 1916","Feb. 24, 2001","U.S. Patent No. 2,801,281",Inducted in 2004,"BornApril 30, 1916 - DiedFeb. 24, 2001",
Gary D. Sharp,Polarization-Control Technology,gary-d-sharp,"['5,751,384']",2015,"Sept. 25, 1962",,"U.S. Patent No. 5,751,384",Inducted in 2015,"BornSept. 25, 1962",
John C. Sheehan,Synthesis of Penicillin,john-c-sheehan,"['3,939,151']",1995,"Sept. 23, 1915","March 21, 1992","U.S. Patent No. 3,939,151",Inducted in 1995,"BornSept. 23, 1915 - DiedMarch 21, 1992",
Patsy O. Sherman,Scotchgard™ Textile Protector,patsy-o-sherman,"['3,574,791']",2001,"Sept. 15, 1930","Feb. 11, 2008","U.S. Patent No. 3,574,791",Inducted in 2001,"BornSept. 15, 1930 - DiedFeb. 11, 2008",
Joseph C. Shivers Jr.,LYCRA® Fiber (Spandex),joseph-c-shivers-jr,"['3,023,192']",2018,"Nov. 29, 1920","Sept. 1, 2014","U.S. Patent No. 3,023,192",Inducted in 2018,"BornNov. 29, 1920 - DiedSept. 1, 2014",
William B. Shockley,Transistor,william-b-shockley,"['2,502,488', '2,524,035']",1974,"Feb. 13, 1910","Aug. 12, 1989","U.S. Patent Nos. 2,502,488; 2,524,035",Inducted in 1974,"BornFeb. 13, 1910 - DiedAug. 12, 1989",
Christopher Sholes,Typewriter,christopher-sholes,"['79,265']",2001,"Feb. 14, 1819","Feb. 17, 1890","U.S. Patent No. 79,265",Inducted in 2001,"BornFeb. 14, 1819 - DiedFeb. 17, 1890",
Frederick Ellsworth Sickels,Valve for Steam Engines,frederick-ellsworth-sickels,"['424,581']",2007,"Sept. 20, 1819","March 8, 1895","U.S. Patent No. 424,581",Inducted in 2007,"BornSept. 20, 1819 - DiedMarch 8, 1895",
Igor I. Sikorsky,Helicopter,igor-i-sikorsky,"['2,318,259', '2,318,260']",1987,"May 25, 1889","Oct. 26, 1972","U.S. Patent Nos. 2,318,259; 2,318,260",Inducted in 1987,"BornMay 25, 1889 - DiedOct. 26, 1972",
John H. Silliker,Microbiological Food Safety and Testing,john-h-silliker,"['2,876,108']",2016,"June 20, 1922","March 19, 2015","U.S. Patent No. 2,876,108",Inducted in 2016,"BornJune 20, 1922 - DiedMarch 19, 2015",Military Service: U.S. Army
Bernard Silver,First Optically Scanned Bar Code,bernard-silver,"['2,612,994']",2011,"Sept. 21, 1924","Aug. 28, 1963","U.S. Patent No. 2,612,994",Inducted in 2011,"BornSept. 21, 1924 - DiedAug. 28, 1963",Military Service: U.S. Army
Spencer Silver,Post-it® Notes,spencer-silver,"['3,691,140']",2010,"Feb. 6, 1941","May 8, 2021","U.S. Patent No. 3,691,140",Inducted in 2010,"BornFeb. 6, 1941 - DiedMay 8, 2021",
Edward Sisler,"1-MCP for Fruit, Vegetable and Flower Freshness",edward-sisler,"['5,518,988']",2022,"Jan. 25, 1930","Feb. 12, 2016","U.S. Patent No. 5,518,988",Inducted in 2022,"BornJan. 25, 1930 - DiedFeb. 12, 2016",
Samuel Slater,Spinning Machine,samuel-slater,missing,2007,"June 9, 1768","April 21, 1835",Inducted in 2007,"BornJune 9, 1768 - DiedApril 21, 1835",,
Games Slayter,Fiberglass,games-slayter,"['2,133,236']",2006,"Dec. 9, 1896","Oct. 15, 1964","U.S. Patent No. 2,133,236",Inducted in 2006,"BornDec. 9, 1896 - DiedOct. 15, 1964",
H. Gene Slottow,Plasma Display,h-gene-slottow,"['3,559,190']",2013,"May 1, 1921","March 11, 1989","U.S. Patent No. 3,559,190",Inducted in 2013,"BornMay 1, 1921 - DiedMarch 11, 1989",
Floyd Smith,Modern Parachute,floyd-smith,"['1,340,423', '1,462,456']",2022,"Oct. 17, 1884","April 18, 1956","U.S. Patent Nos. 1,340,423; 1,462,456",Inducted in 2022,"BornOct. 17, 1884 - DiedApril 18, 1956",
George E. Smith,Charge-Coupled Device,george-e-smith,"['3,858,232']",2006,"May 10, 1930",,"U.S. Patent No. 3,858,232",Inducted in 2006,"BornMay 10, 1930",Military Service: U.S. Navy
Polly Smith,Sports Bra,polly-smith,"['4,174,717']",2022,"Nov. 10, 1949",,"U.S. Patent No. 4,174,717",Inducted in 2022,"BornNov. 10, 1949",
Samuel Smith,Scotchgard™ Textile Protector,samuel-smith,"['3,574,791']",2001,"Sept. 13, 1927","Jan. 6, 2005","U.S. Patent No. 3,574,791",Inducted in 2001,"BornSept. 13, 1927 - DiedJan. 6, 2005",
Lanny Smoot,Theatrical Technologies and Special Effects,lanny-smoot,"['7,273,280']",2024,"Dec. 13, 1955",,"U.S. Patent No. 7,273,280",Inducted in 2024,"BornDec. 13, 1955",
James Murray Spangler,Portable Electric Vacuum Cleaner,james-murray-spangler,"['889,823']",2006,"Nov. 20, 1848","Jan. 22, 1915","U.S. Patent No. 889,823",Inducted in 2006,"BornNov. 20, 1848 - DiedJan. 22, 1915",
William J. Sparks,Butyl Rubber,william-j-sparks,"['2,356,128']",2016,"Feb. 26, 1905","Oct. 23, 1976","U.S. Patent No. 2,356,128",Inducted in 2016,"BornFeb. 26, 1905 - DiedOct. 23, 1976",
Percy L. Spencer,High-Efficiency Magnetron,percy-l-spencer,"['2,408,235']",1999,"July 19, 1894","Sept. 8, 1970","U.S. Patent No. 2,408,235",Inducted in 1999,"BornJuly 19, 1894 - DiedSept. 8, 1970",Military Service: U.S. Navy
Elmer Ambrose Sperry,Gyroscopic Compass,elmer-ambrose-sperry,"['1,242,065']",1991,"Oct. 12, 1860","June 16, 1930","U.S. Patent No. 1,242,065",Inducted in 1991,"BornOct. 12, 1860 - DiedJune 16, 1930",
Frank J. Sprague,Electric Street Car,frank-j-sprague,"['321,149']",2006,"July 25, 1857","Oct. 25, 1934","U.S. Patent No. 321,149",Inducted in 2006,"BornJuly 25, 1857 - DiedOct. 25, 1934",Military Service: U.S. Navy
James Sprague,Thiazide Diuretics (Chlorothiazide),james-sprague,"['3,097,204']",2019,1909,"Jan. 30, 2000","U.S. Patent No. 3,097,204",Inducted in 2019,"Born1909 - DiedJan. 30, 2000",
Rangaswamy Srinivasan,Excimer Laser Surgery,rangaswamy-srinivasan,"['4,784,135']",2002,"Feb. 28, 1929",,"U.S. Patent No. 4,784,135",Inducted in 2002,"BornFeb. 28, 1929",
"William Stanley, Jr.",Induction Coil,william-stanley,"['349,611']",1995,"Nov. 28, 1858","May 14, 1916","U.S. Patent No. 349,611",Inducted in 1995,"BornNov. 28, 1858 - DiedMay 14, 1916",
Gary K. Starkweather,Laser Printer,gary-k-starkweather,"['3,970,359']",2012,"Jan. 9, 1938","Dec. 26, 2019","U.S. Patent No. 3,970,359",Inducted in 2012,"BornJan. 9, 1938 - DiedDec. 26, 2019",
Charles Proteus Steinmetz,Alternating Current,charles-proteus-steinmetz,"['533,244']",1977,"April 9, 1865","Oct. 26, 1923","U.S. Patent No. 533,244",Inducted in 1977,"BornApril 9, 1865 - DiedOct. 26, 1923",
Leo H. Sternbach,Benzodiazepines,leo-h-sternbach,"['3,371,085']",2005,"May 7, 1908","Sept. 28, 2005","U.S. Patent No. 3,371,085",Inducted in 2005,"BornMay 7, 1908 - DiedSept. 28, 2005",
John Stevens,Steam-Powered Transportation,john-stevens,missing,2006,"Jan. 1, 1749","March 6, 1838",Inducted in 2006,"BornJan. 1, 1749 - DiedMarch 6, 1838",Military Service: U.S. Army,
Louis Stevens,Data Storage Machine,louis-stevens,"['3,134,097']",2008,"April 15, 1925","Oct. 17, 2009","U.S. Patent No. 3,134,097",Inducted in 2008,"BornApril 15, 1925 - DiedOct. 17, 2009",Military Service: U.S. Marine Corps
George R. Stibitz,Digital Computer,george-r-stibitz,"['2,668,661']",1983,"April 30, 1904","Jan. 31, 1995","U.S. Patent No. 2,668,661",Inducted in 1983,"BornApril 30, 1904 - DiedJan. 31, 1995",
Alice Stoll,Fire-Resistant Fibers and Fabrics,alice-stoll,"['3,148,531']",2024,"Aug. 25, 1917","March 5, 2014","U.S. Patent No. 3,148,531",Inducted in 2024,"BornAug. 25, 1917 - DiedMarch 5, 2014",Military Service: U.S. Navy
S. Donald Stookey,Glass Ceramics,s-donald-stookey,"['2,920,971']",2010,"May 23, 1915","Nov. 4, 2014","U.S. Patent No. 2,920,971",Inducted in 2010,"BornMay 23, 1915 - DiedNov. 4, 2014",
Harriet W. R. Strong,Water Storage and Flood Control,harriet-w-r-strong,"['374,378']",2016,"July 23, 1844","Sept. 6, 1926","U.S. Patent No. 374,378",Inducted in 2016,"BornJuly 23, 1844 - DiedSept. 6, 1926",
Herbert M. Strong,Diamond Synthesis,herbert-m-strong,"['2,947,610']",2010,"Sept. 30, 1908","Jan. 30, 2002","U.S. Patent No. 2,947,610",Inducted in 2010,"BornSept. 30, 1908 - DiedJan. 30, 2002",
Almon Brown Strowger,Automatic Telephone-Dialing System,almon-brown-strowger,"['447,918']",2006,"Oct. 19, 1839","May 26, 1902","U.S. Patent No. 447,918",Inducted in 2006,"BornOct. 19, 1839 - DiedMay 26, 1902",Military Service: U.S. Army
Eugene Sullivan,PYREX® Brand Cookware,eugene-sullivan,"['1,304,622']",2011,"Jan. 23, 1872","May 12, 1962","U.S. Patent No. 1,304,622",Inducted in 2011,"BornJan. 23, 1872 - DiedMay 12, 1962",
Gideon Sundback,Modern Zipper,gideon-sundback,"['1,219,881']",2006,"April 24, 1880","June 21, 1954","U.S. Patent No. 1,219,881",Inducted in 2006,"BornApril 24, 1880 - DiedJune 21, 1954",
Ivan E. Sutherland,Display Windowing by Clipping,ivan-e-sutherland,"['3,639,736']",2016,"May 16, 1938",,"U.S. Patent No. 3,639,736",Inducted in 2016,"BornMay 16, 1938",Military Service: U.S. Army
Ambrose Swasey,Telescope,ambrose-swasey,"['959,179']",2006,"Dec. 19, 1846","June 15, 1937","U.S. Patent No. 959,179",Inducted in 2006,"BornDec. 19, 1846 - DiedJune 15, 1937",
Leo Szilard,Nuclear Fission,leo-szilard,"['2,708,656']",1996,"Feb. 11, 1898","May 30, 1964","U.S. Patent No. 2,708,656",Inducted in 1996,"BornFeb. 11, 1898 - DiedMay 30, 1964",
Donalee L. Tabern,Pentothal / Anesthesia,donalee-l-tabern,"['2,153,729']",1986,"Jan. 25, 1900","Dec. 31, 1974","U.S. Patent No. 2,153,729",Inducted in 1986,"BornJan. 25, 1900 - DiedDec. 31, 1974",
Charles Sumner Tainter,Sound-Recording Instruments,charles-sumner-tainter,"['341,288']",2006,"April 25, 1854","April 20, 1940","U.S. Patent No. 341,288",Inducted in 2006,"BornApril 25, 1854 - DiedApril 20, 1940",
Jokichi Takamine,Adrenaline (Adrenalin®),jokichi-takamine,"['730,176']",2024,"Nov. 3, 1854","July 22, 1922","U.S. Patent No. 730,176",Inducted in 2024,"BornNov. 3, 1854 - DiedJuly 22, 1922",
Esther Sans Takeuchi,Lithium/Silver Vanadium Oxide (Li/SVO) Battery Technology in Implantable Cardioverter Defibrillators (ICDs),esther-sans-takeuchi,"['5,389,472', '6,221,534']",2011,"Sept. 8, 1953",,"U.S. Patent Nos. 5,389,472; 6,221,534",Inducted in 2011,"BornSept. 8, 1953",
Pushkar Tandon,Bend-Insensitive Optical Fiber,pushkar-tandon,"['7,450,806', '7,903,917', '8,385,701']",2022,"Dec. 23, 1967",,"U.S. Patent Nos. 7,450,806; 7,903,917; 8,385,701",Inducted in 2022,"BornDec. 23, 1967",
Ching Wan Tang,Organic Light-Emitting Diode (OLED),ching-wan-tang,"['4,356,429']",2018,"July 23, 1947",,"U.S. Patent No. 4,356,429",Inducted in 2018,"BornJuly 23, 1947",
Welton I. Taylor,Microbiological Food Safety and Testing,welton-i-taylor,"['4,010,078']",2016,"Nov. 12, 1919","Nov. 1, 2012","U.S. Patent No. 4,010,078",Inducted in 2016,"BornNov. 12, 1919 - DiedNov. 1, 2012",Military Service: U.S. Army
Gordon Teal,Silicon Transistor,gordon-teal,"['2,703,296']",2009,"Jan. 10, 1907","Jan. 7, 2003","U.S. Patent No. 2,703,296",Inducted in 2009,"BornJan. 10, 1907 - DiedJan. 7, 2003",
Ralph Teetor,Cruise Control,ralph-teetor,"['2,519,859']",2024,"Aug. 17, 1890","Feb. 15, 1982","U.S. Patent No. 2,519,859",Inducted in 2024,"BornAug. 17, 1890 - DiedFeb. 15, 1982",
Maria Telkes,Solar Thermal Storage Systems,maria-telkes,"['3,986,969']",2012,"Dec. 12, 1900","Dec. 2, 1995","U.S. Patent No. 3,986,969",Inducted in 2012,"BornDec. 12, 1900 - DiedDec. 2, 1995",
Paul Terasaki,Tissue Typing for Organ Transplants; Terasaki Tray,paul-terasaki,"['4,599,315']",2018,"Sept. 10, 1929","Jan. 25, 2016","U.S. Patent No. 4,599,315",Inducted in 2018,"BornSept. 10, 1929 - DiedJan. 25, 2016",
Eli Terry,Clock,eli-terry,missing,2007,"April 13, 1772","Feb. 24, 1852",Inducted in 2007,"BornApril 13, 1772 - DiedFeb. 24, 1852",,
Nikola Tesla,Electro-Magnetic Motor,nikola-tesla,"['381,968']",1975,"July 10, 1856","Jan. 7, 1943","U.S. Patent No. 381,968",Inducted in 1975,"BornJuly 10, 1856 - DiedJan. 7, 1943",
John H. Thomas,Fiberglass,john-h-thomas,"['2,121,802', '2,133,236']",2006,"Sept. 19, 1907","Sept. 17, 1991","U.S. Patent Nos. 2,121,802; 2,133,236",Inducted in 2006,"BornSept. 19, 1907 - DiedSept. 17, 1991",
Robert M. Thomas,Butyl Rubber,robert-m-thomas,"['2,356,128']",2016,"June 21, 1908","July 23, 1984","U.S. Patent No. 2,356,128",Inducted in 2016,"BornJune 21, 1908 - DiedJuly 23, 1984",
David A. Thompson,Magnetic Thin-Film Storage Head,david-thompson,"['4,295,173']",2012,"Dec. 17, 1940",,"U.S. Patent No. 4,295,173",Inducted in 2012,"BornDec. 17, 1940",
Ken Thompson,UNIX Operating System,ken-thompson,"['3,568,156']",2019,"Feb. 4, 1943",,"U.S. Patent No. 3,568,156",Inducted in 2019,"BornFeb. 4, 1943",
Elihu Thomson,Electric Arc Lamp,elihu-thomson,"['258,684']",2006,"March 29, 1853","March 13, 1937","U.S. Patent No. 258,684",Inducted in 2006,"BornMarch 29, 1853 - DiedMarch 13, 1937",
Louis Comfort Tiffany,"Glass Tile, Mosaic",louis-comfort-tiffany,"['237,416']",2007,"Feb. 18, 1848","Jan. 17, 1933","U.S. Patent No. 237,416",Inducted in 2007,"BornFeb. 18, 1848 - DiedJan. 17, 1933",
Henry Timken,Tapered Roller Bearings,henry-timken,"['606,635', '606,636']",1998,"Aug. 16, 1831","March 16, 1909","U.S. Patent Nos. 606,635; 606,636",Inducted in 1998,"BornAug. 16, 1831 - DiedMarch 16, 1909",Military Service: U.S. Army
Max Tishler,Synthesis of Vitamin B2 and Sulfaquinoxaline (Antibiotic),max-tishler,"['2,261,608', '2,404,199']",1982,"Oct. 30, 1906","March 18, 1989","U.S. Patent Nos. 2,261,608; 2,404,199",Inducted in 1982,"BornOct. 30, 1906 - DiedMarch 18, 1989",
Charles Hard Townes,Maser,charles-hard-townes,"['2,879,439', '2,929,922']",1976,"July 28, 1915","Jan. 27, 2015","U.S. Patent Nos. 2,879,439; 2,929,922",Inducted in 1976,"BornJuly 28, 1915 - DiedJan. 27, 2015",
James Truchard,Virtual Instrumentation - LabVIEW™,james-truchard,"['4,901,221']",2019,"June 25, 1943",,"U.S. Patent No. 4,901,221",Inducted in 2019,"BornJune 25, 1943",
Roger Tsien,Green Fluorescent Protein (GFP) Variants,roger-tsien,"['5,625,048']",2023,"Feb. 1, 1952","Aug. 24, 2016","U.S. Patent No. 5,625,048",Inducted in 2023,"BornFeb. 1, 1952 - DiedAug. 24, 2016",
Charles W. Tyson,Fluid Catalytic Cracking,charles-w-tyson,"['2,451,804']",1999,"Jan. 1, 1900","Jan. 1, 1977","U.S. Patent No. 2,451,804",Inducted in 1999,"BornJan. 1, 1900 - DiedJan. 1, 1977",
William E. Upjohn,Dissolvable Pills,william-e-upjohn,"['312,041']",2006,"June 5, 1853","Oct. 18, 1932","U.S. Patent No. 312,041",Inducted in 2006,"BornJune 5, 1853 - DiedOct. 18, 1932",
Theophilus Van Kannel,Revolving Door,theophilus-van-kannel,"['641,563']",2007,"Jan. 1, 1841","Dec. 24, 1919","U.S. Patent No. 641,563",Inducted in 2007,"BornJan. 1, 1841 - DiedDec. 24, 1919",
Steven Van Slyke,Organic Light-Emitting Diode (OLED),steven-van-slyke,"['4,539,507']",2018,"July 19, 1956",,"U.S. Patent No. 4,539,507",Inducted in 2018,"BornJuly 19, 1956",
Andrew J. Viterbi,CDMA Technology,andrew-j-viterbi,"['5,103,459']",2013,"March 9, 1935",,"U.S. Patent No. 5,103,459",Inducted in 2013,"BornMarch 9, 1935",
Ernest H. Volwiler,Pentothal / Anesthesia,ernest-h-volwiler,"['2,153,729']",1986,"Aug. 22, 1893","Oct. 3, 1992","U.S. Patent No. 2,153,729",Inducted in 1986,"BornAug. 22, 1893 - DiedOct. 3, 1992",
Luis von Ahn,reCAPTCHA,luis-von-ahn,"['8,555,353']",2023,"Aug. 19, 1978",,"U.S. Patent No. 8,555,353",Inducted in 2023,"BornAug. 19, 1978",
Theodore von Karman,Aerodynamic Structure for Planes and Wings,theodore-von-karman,"['1,962,794']",2003,"May 11, 1881","May 6, 1963","U.S. Patent No. 1,962,794",Inducted in 2003,"BornMay 11, 1881 - DiedMay 6, 1963",
Hans J.P. von Ohain,Turbojet Engine,hans-jp-von-ohain,"['2,911,189']",2003,"Dec. 14, 1911","March 13, 1998","U.S. Patent No. 2,911,189",Inducted in 2003,"BornDec. 14, 1911 - DiedMarch 13, 1998",
Carl Auer von Welsbach,Incandescent Device,carl-auer-von-welsbach,"['399,174']",2011,"Sept. 1, 1858","Aug. 4, 1929","U.S. Patent No. 399,174",Inducted in 2011,"BornSept. 1, 1858 - DiedAug. 4, 1929",
Ferdinand von Zeppelin,Rigid Airship,ferdinand-von-zeppelin,"['621,195']",2006,"July 8, 1838","March 8, 1917","U.S. Patent No. 621,195",Inducted in 2006,"BornJuly 8, 1838 - DiedMarch 8, 1917",
Selman Waksman,Streptomycin,selman-waksman,"['2,443,485']",2005,"July 22, 1888","Aug. 16, 1973","U.S. Patent No. 2,443,485",Inducted in 2005,"BornJuly 22, 1888 - DiedAug. 16, 1973",
David Walt,Microwell Arrays,david-walt,"['6,023,540']",2019,"Feb. 11, 1953",,"U.S. Patent No. 6,023,540",Inducted in 2019,"BornFeb. 11, 1953",
An Wang,Magnetic Core Memory,wang,"['2,708,722']",1988,"Feb. 7, 1920","March 24, 1990","U.S. Patent No. 2,708,722",Inducted in 1988,"BornFeb. 7, 1920 - DiedMarch 24, 1990",
Frank Wanlass,Complementary Metal Oxide Semiconductor (CMOS),frank-wanlass,"['3,356,858']",2009,"May 17, 1933","Sept. 9, 2010","U.S. Patent No. 3,356,858",Inducted in 2009,"BornMay 17, 1933 - DiedSept. 9, 2010",Military Service: U.S. Army
William J. Warner,Digital Nonlinear Editing System,william-warner,"['4,970,663']",2019,"March 19, 1955",,"U.S. Patent No. 4,970,663",Inducted in 2019,"BornMarch 19, 1955",
Lewis Edson Waterman,Fountain Pen,lewis-edson-waterman,"['293,545']",2006,"Nov. 20, 1837","May 1, 1901","U.S. Patent No. 293,545",Inducted in 2006,"BornNov. 20, 1837 - DiedMay 1, 1901",
Thomas A. Watson,Improvements to the Telephone,thomas-watson,"['199,007']",2011,"Jan. 18, 1854","Dec. 13, 1934","U.S. Patent No. 199,007",Inducted in 2011,"BornJan. 18, 1854 - DiedDec. 13, 1934",
Drew Weissman,Modified mRNA Technology Used in COVID-19 Vaccines,drew-weissman,"['8,278,036']",2023,"Sept. 7, 1959",,"U.S. Patent No. 8,278,036",Inducted in 2023,"BornSept. 7, 1959",
"Robert Wentorf, Jr.",Diamond Synthesis,robert-wentorf,"['2,947,610']",2010,"May 28, 1926","April 3, 1997","U.S. Patent No. 2,947,610",Inducted in 2010,"BornMay 28, 1926 - DiedApril 3, 1997",Military Service: U.S. Navy
James E. West,Electret Microphone,james-e-west,"['3,118,022']",1999,"Feb. 10, 1931",,"U.S. Patent No. 3,118,022",Inducted in 1999,"BornFeb. 10, 1931",Military Service: U.S. Army
"George Westinghouse, Jr.",Air Brake System,george-westinghouse,['RE5504'],1989,"Oct. 6, 1846","March 12, 1914",U.S. Patent No. RE 5504,Inducted in 1989,"BornOct. 6, 1846 - DiedMarch 12, 1914","Military Service: U.S. Army,U.S. Navy"
Edward Weston,Portable Voltmeter,edward-weston,"['392,287']",2006,"May 9, 1850","Aug. 20, 1936","U.S. Patent No. 392,287",Inducted in 2006,"BornMay 9, 1850 - DiedAug. 20, 1936",
Squire Whipple,Iron Truss Bridge,squire-whipple,"['2,064']",2007,"Sept. 16, 1804","March 15, 1888","U.S. Patent No. 2,064",Inducted in 2007,"BornSept. 16, 1804 - DiedMarch 15, 1888",
Richard Whitcomb,Supercritical Wing,richard-whitcomb,"['3,952,971']",2003,"Feb. 21, 1921","Oct. 13, 2009","U.S. Patent No. 3,952,971",Inducted in 2003,"BornFeb. 21, 1921 - DiedOct. 13, 2009",
Rollin Henry White,Steam Generator; Controlled Differential,rollin-henry-white,"['659,837', '1,253,319']",2011,"July 11, 1872","Sept. 10, 1962","U.S. Patent Nos. 659,837; 1,253,319",Inducted in 2011,"BornJuly 11, 1872 - DiedSept. 10, 1962",
Willis Whitfield,Clean Room,willis-whitfield,"['3,158,457']",2014,"Dec. 6, 1919","Nov. 12, 2012","U.S. Patent No. 3,158,457",Inducted in 2014,"BornDec. 6, 1919 - DiedNov. 12, 2012",Military Service: U.S. Navy
Eli Whitney,Cotton Gin,eli-whitney,missing,1974,"Dec. 8, 1765","Jan. 8, 1825",Inducted in 1974,"BornDec. 8, 1765 - DiedJan. 8, 1825",,
Frank Whittle,Jet Engine,frank-whittle,"['2,404,334']",2003,"June 1, 1907","Aug. 8, 1996","U.S. Patent No. 2,404,334",Inducted in 2003,"BornJune 1, 1907 - DiedAug. 8, 1996",Military Service: Royal Air Force
Otto Wichterle,Soft Contact Lens,otto-wichterle,"['3,220,960']",2007,"Oct. 27, 1913","Aug. 18, 1998","U.S. Patent No. 3,220,960",Inducted in 2007,"BornOct. 27, 1913 - DiedAug. 18, 1998",
